distance left (km),control stop,speed limit (km/h),height change (m)   ,bearing (deg)
2658              ,0           ,130               ,0.741143890526473   ,171.917775503009
2657              ,0           ,130               ,-1.08797708000026   ,141.030716985775
2656              ,0           ,130               ,-1.09941702561414   ,108.051076464152
2655              ,0           ,130               ,-2.00334531649105   ,107.957472920458
2654              ,0           ,130               ,-0.904117062105087  ,107.68293098119
2653              ,0           ,130               ,0.425711180701711   ,107.68313843016
2652              ,0           ,130               ,0.94921327017525    ,107.903086558865
2651              ,0           ,130               ,0.372566541403728   ,108.299321104352
2650              ,0           ,130               ,-0.659911947017434  ,107.63752468114
2649              ,0           ,130               ,-2.78476398315792   ,108.648713493056
2648              ,0           ,130               ,-5.42092771649118   ,107.542738447404
2647              ,0           ,130               ,-4.9438194315791    ,107.224530874738
2646              ,0           ,130               ,-5.28534555368421   ,108.327340247851
2645              ,0           ,130               ,-4.38364694491224   ,105.737370536099
2644              ,0           ,130               ,-2.6322829066666    ,103.005277657619
2643              ,0           ,130               ,-1.99909620491263   ,103.005394100293
2642              ,0           ,130               ,-1.12107512877168   ,110.777027046376
2641              ,0           ,130               ,-1.2717028831579    ,117.216489335366
2640              ,0           ,130               ,-1.16431248807027   ,122.939879170131
2639              ,0           ,130               ,0.476899205964997   ,141.297041933219
2638              ,0           ,130               ,-0.79460067754394   ,149.746709987758
2637              ,0           ,130               ,0.247083762456157   ,149.747064939035
2636              ,0           ,130               ,0.732313586315797   ,139.653299828451
2635              ,0           ,130               ,-1.52192068701746   ,123.762648960767
2634              ,0           ,130               ,-1.60030968631591   ,119.199204036842
2633              ,0           ,130               ,-1.00314373754392   ,119.199762990926
2632              ,0           ,130               ,-1.76281678666658   ,119.20023824831
2631              ,0           ,130               ,-1.71304060491218   ,111.037477803384
2630              ,0           ,130               ,0.11904984315774    ,96.6692348638707
2629              ,0           ,130               ,0.715754224561351   ,106.209518023878
2628              ,0           ,130               ,0.401885587017802   ,135.745479333303
2627              ,0           ,130               ,1.6955990245612     ,143.458903907144
2626              ,0           ,130               ,0.736543100701851   ,143.459999114124
2625              ,0           ,130               ,-0.455923870876973  ,143.461214554856
2624              ,0           ,130               ,-0.469042802807394  ,143.085225404603
2623              ,0           ,130               ,-2.08760681087705   ,131.639983966678
2622              ,0           ,130               ,-2.04458061438586   ,115.531125669613
2621              ,0           ,130               ,-1.77937808140365   ,108.589916450122
2620              ,0           ,130               ,-2.4464303073683    ,116.934094201193
2619              ,0           ,130               ,-0.07703010666674   ,132.361708383909
2618              ,0           ,130               ,0.0900202687718661  ,142.00983164502
2617              ,0           ,130               ,-0.908531526315699  ,142.010664107955
2616              ,0           ,130               ,-0.620976140000067  ,141.793069129227
2615              ,0           ,130               ,-2.50622546385958   ,126.688055896705
2614              ,0           ,130               ,-2.42053350526328   ,119.691759624445
2613              ,0           ,130               ,-0.0552097319297218 ,119.732674583504
2612              ,0           ,130               ,0.877363901403612   ,131.278963681603
2611              ,0           ,130               ,0.656417731929764   ,133.901732948658
2610              ,0           ,130               ,1.64411964561401    ,133.902458241621
2609              ,0           ,100               ,0.26193779789466    ,133.903669202116
2608              ,0           ,100               ,-0.16569710035094   ,133.90426011202
2607              ,0           ,80                ,-0.727427473333165  ,133.904894258498
2606              ,0           ,60                ,-1.9120104164912    ,133.90577215534
2605              ,0           ,60                ,-2.13218755298263   ,133.968281340752
2604              ,0           ,80                ,-2.16663264350871   ,145.965967893042
2603              ,0           ,100               ,-0.295887411929812  ,175.861766085974
2602              ,0           ,100               ,2.12920043228073    ,173.665938864349
2601              ,0           ,130               ,3.50008682526303    ,170.392089461769
2600              ,0           ,130               ,4.85424880245617    ,170.392199993379
2599              ,0           ,130               ,5.48045494070195    ,170.391986037449
2598              ,0           ,130               ,4.74128740315757    ,170.392982541841
2597              ,0           ,130               ,0.559415065263295   ,170.393023675761
2596              ,0           ,130               ,-2.14911440491213   ,170.393760152481
2595              ,0           ,130               ,-3.64801383929827   ,170.394152221278
2594              ,0           ,130               ,-1.55266772070172   ,171.375629099011
2593              ,0           ,130               ,0.726804495789366   ,180.36434260167
2592              ,0           ,130               ,2.9635637185965     ,190.609302090617
2591              ,0           ,130               ,4.96063323087716    ,201.247298506758
2590              ,0           ,130               ,2.52858676982453    ,206.774162953826
2589              ,0           ,130               ,2.53824270807033    ,198.14725573414
2588              ,0           ,130               ,-0.374352834035221  ,187.564745594609
2587              ,0           ,130               ,-3.19952270807016   ,177.059890525002
2586              ,0           ,130               ,-4.21339710736839   ,166.84865368657
2585              ,0           ,130               ,-6.13753504947357   ,169.057989695914
2584              ,0           ,130               ,-5.31806051087744   ,181.177845721717
2583              ,0           ,130               ,-2.71499788526313   ,182.699116884666
2582              ,0           ,130               ,-1.57464925894706   ,177.483430040588
2581              ,0           ,130               ,-0.676520907719407  ,166.797309793118
2580              ,0           ,130               ,1.63914060561396    ,157.671703844218
2579              ,0           ,130               ,4.45506170456142    ,158.090323093945
2578              ,0           ,130               ,6.12388488596491    ,162.072195343731
2577              ,0           ,130               ,5.5718567301752     ,162.129894067989
